label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
00000;common exterior;common exterior;Standardfassade;fachada clásica;fachada clásica;façade ordinaire;façade à poutres;esterno comune;beige-wit simpel vakwerk;常见墙;常見牆;よくあるかべ;평범한 외벽;простой фасад
00005;red-trim common exterior;red-trim common exterior;Standardfassade mit Rot;fachada clásica roja;fachada clásica roja;façade à poutres rouges;façade à poutres rouges;esterno comune rosso;rood-wit simpel vakwerk;红色框常见墙;紅色框常見牆;あかいわくのよくあるかべ;빨간 틀 평범한 외벽;фасад с красным кантом
00006;blue-trim common exterior;blue-trim common exterior;Standardfassade mit Blau;fachada clásica azul;fachada clásica azul;façade à poutres bleues;façade à poutres bleues;esterno comune blu;groen-geel simpel vakwerk;蓝色框常见墙;藍色框常見牆;あおいわくのよくあるかべ;파란 틀 평범한 외벽;фасад с синим кантом
00009;chalet exterior;chalet exterior;Fachwerkfassade;fachada chalé;fachada chalé;façade chaumière;façade chaumière;esterno chalet;zwart-wit vakwerk;木框墙;木框牆;きわくのかべ;나이테 외벽;фасад шале
00010;cobblestone exterior;cobblestone exterior;Granitfassade;fachada adoquines;fachada adoquines;façade à pierres;façade à pierres;esterno in pietra;grijs-wit metselwerk;石墙;石牆;いしのかべ;돌 외벽;каменный фасад
00019;white stucco exterior;white stucco exterior;Weiß-Lehmfassade;fachada estuco blanca;fachada estuco blanca;façade en stuc blanc;façade en stuc blanc;esterno di stucco bianco;wit pleisterwerk;白色灰泥墙;白色灰泥牆;しろいしっくいぬりのかべ;하얀색 석회 외벽;фасад с белой отделкой
00020;brown chalet exterior;brown chalet exterior;Braun-Fachwerkfassade;fachada chalé marrón;fachada chalé marrón;façade chaumière marron;façade chalet bois brun;esterno chalet marrone;beige vakwerk;茶色木框墙;茶色木框牆;ちゃいろいきわくのかべ;갈색 나이테 외벽;коричневый фасад шале
00021;red chalet exterior;red chalet exterior;Rot-Fachwerkfassade;fachada chalé roja;fachada chalé roja;façade chaumière rouge;façade chalet bois rouge;esterno chalet rosso;rood-wit vakwerk;红色框木框墙;紅色木框牆;あかいきわくのかべ;빨간색 나이테 외벽;красный фасад шале
00022;light-blue chalet exterior;light-blue chalet exterior;Hellblau-Fachwerkfassade;fachada chalé celeste;fachada chalé celeste;façade chaumière bleu clair;façade chalet bleu pâle;esterno chalet blu chiaro;wit-blauw vakwerk;水蓝色木框墙;水藍色木框牆;みずいろのきわくのかべ;하늘색 나이테 외벽;голубой фасад шале
00023;yellow chalet exterior;yellow chalet exterior;Gelb-Fachwerkfassade;fachada chalé ocre;fachada chalé ocre;façade chaumière jaune;façade chalet jaune;esterno chalet giallo;zwart-geel vakwerk;黄色木框墙;黃色木框牆;きいろいきわくのかべ;노란색 나이테 외벽;желтый фасад шале
00142;orange chalet exterior;orange chalet exterior;Orange-Fachwerkfassade;fachada chalé naranja;fachada chalé naranja;façade chaumière orange;façade chalet orange;esterno chalet arancione;wit-oranje vakwerk;橘色木框墙;橘色木框牆;オレンジいろのきわくのかべ;오렌지색 나이테 외벽;оранжевый фасад шале
