label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
001;outdoors;outdoors;Outdoor;al aire libre;al aire libre;extérieur;extérieur;all'aria aperta;de buitenlucht;户外;戶外;アウトドア;아웃도어;Пикник
002;ocean;ocean;Meer;en el mar;en el mar;océanique;océanique;nell'oceano;de oceaan;大海;大海;うみ;바다;Океан
003;office;office;Büro;en una oficina;en una oficina;bureau;bureau;in un ufficio;een kantoor;办公室;辦公室;オフィス;오피스;Офис
004;shop;shop;Laden;en un negocio;en un negocio;magasin;magasin;in un negozio;een winkel;商店;商店;おみせ;가게;Магазин
005;music;music;Musik;en un conservatorio;en un conservatorio;musical;musical;a teatro;muziek;音乐;音樂;おんがく;음악;Музыка
006;school;school;Schule;en una escuela;en una escuela;école;école;in una scuola;een school;学校;學校;がっこう;학교;Школа
007;workshop;workshop;Werkstatt;en un taller;en un taller;atelier;atelier;in un laboratorio;een werkplaats;车库;車庫;ガレージ;차고;Мастерская
008;kitchen;kitchen;Küche;en una cocina;en una cocina;cuisine;cuisine;in una cucina;een keuken;厨房;廚房;キッチン;부엌;Кухня
009;child's room;child's room;Kinderzimmer;en un cuarto infantil;en un cuarto infantil;chambre d'enfant;chambre d'enfant;nella cameretta di un bimbo;een kinderkamer;儿童房;兒童房;こどもべや;놀이방;Детская
010;facility;facility;Stadtgebäude;en una instalación pública;en un mercado de pulgas;institution;institution;in un edificio pubblico;een publieke ruimte;设施;設施;しせつ;시설;Учреждение
011;den;den;Studierzimmer;en un despacho;en un despacho;ministre;ministre;in uno studio;een studiekamer;书房;書房;しょさい;서재;Кабинет
012;harmonious;harmonious;Fernost;en Oriente;en el Oriente;harmonieux;harmonieux;in una casa armoniosa;harmonie;东洋风;東洋風;とうようふう;동양풍;Гармония
013;party;party;Party;en una fiesta;en una fiesta;festif;festif;a una festa;een feest;派对;派對;パーティー;파티;Вечеринка
014;bathroom;bathroom;Badezimmer;en un cuarto de baño;en un cuarto de baño;salle de bains;salle de bains;in una stanza da bagno;een badkamer;浴室·厕所;浴室‧廁所;バス・トイレ;욕실/화장실;Ванная
015;fitness;fitness;Fitness;en un gimnasio;en un gimnasio;fitness;fitness;in una palestra;een sportschool;健身;健身;フィットネス;피트니스;Фитнес
016;freezing cold;freezing cold;Eiseskälte;en el Polo;en el Polo;glacial;glacial;su un ghiacciaio;de vrieskou;严寒;嚴寒;ごっかん;혹한;Мороз
017;concert;concert;Konzert;en un concierto;en un concierto;concert;concert;a un concerto;een concert;演唱会;演唱會;ライブ;라이브;Концерт
018;living room;living room;Wohnzimmer;en una sala de estar;en una sala de estar;salon;salon;in un soggiorno;een woonkamer;客厅;客廳;リビング;거실;Гостиная
020;space;space;Weltraum;en el espacio;en el espacio;spatial;spatial;nello spazio;het heelal;宇宙;宇宙;うちゅう;우주;Космос
021;heritage;heritage;Kultur;en un museo;en un museo;patrimoine;patrimoine;in un patrimonio culturale;erfgoed;民间工艺;民藝;みんげい;전통 예술;Традиции
022;horror;horror;Horror;en una peli de miedo;en una película de miedo;effrayant;effrayant;in un incubo;een horrorfilm;恐怖;恐怖;ホラー;호러;Ужасы
023;garden;garden;Garten;en un jardín;en un jardín;jardin;jardin;in giardino;een tuin;庭院;庭園;にわ;정원;Сад
024;expensive;expensive;Luxus;en una mansión;en una mansión;luxueux;luxueux;nel lusso sfrenato;luxe;富裕;富裕;リッチ;리치;Роскошь
025;fancy;fancy;Putzig;en un mundo de fantasía;en un mundo de fantasía;mignon;cute;in un mondo fantastico;elegantie;奇幻;奇幻;ファンシー;팬시;Фантазия
